person_id;item_id;item_score
DUMMY1_1;Ank23d_C_GT_1F_02;1
DUMMY1_2;Ank23d_C_GT_1F_02;0
DUMMY1_3;Ank23d_C_GT_1F_02;1
DUMMY1_4;Ank23d_C_GT_1F_02;1
DUMMY1_5;Ank23d_C_GT_1F_02;1
DUMMY1_6;Ank23d_C_GT_1F_02;0
DUMMY1_7;Ank23d_C_GT_1F_02;0
DUMMY1_8;Ank23d_C_GT_1F_02;0
DUMMY1_9;Ank23d_C_GT_1F_02;1
DUMMY1_10;Ank23d_C_GT_1F_02;0
DUMMY1_11;Ank23d_C_GT_1F_02;0
DUMMY1_12;Ank23d_C_GT_1F_02;1
DUMMY1_13;Ank23d_C_GT_1F_02;1
DUMMY1_14;Ank23d_C_GT_1F_02;1
DUMMY1_15;Ank23d_C_GT_1F_02;1
DUMMY1_16;Ank23d_C_GT_1F_02;1
DUMMY1_17;Ank23d_C_GT_1F_02;0
DUMMY1_18;Ank23d_C_GT_1F_02;1
DUMMY1_19;Ank23d_C_GT_1F_02;0
DUMMY1_20;Ank23d_C_GT_1F_02;0
DUMMY1_21;Ank23d_C_GT_1F_02;1
DUMMY1_22;Ank23d_C_GT_1F_02;1
DUMMY1_23;Ank23d_C_GT_1F_02;1
DUMMY1_24;Ank23d_C_GT_1F_02;1
DUMMY1_25;Ank23d_C_GT_1F_02;1
DUMMY1_26;Ank23d_C_GT_1F_02;1
DUMMY1_27;Ank23d_C_GT_1F_02;1
DUMMY1_28;Ank23d_C_GT_1F_02;1
DUMMY1_29;Ank23d_C_GT_1F_02;0
DUMMY1_30;Ank23d_C_GT_1F_02;1
DUMMY1_31;Ank23d_C_GT_1F_02;1
DUMMY1_32;Ank23d_C_GT_1F_02;1
DUMMY1_33;Ank23d_C_GT_1F_02;1
DUMMY1_34;Ank23d_C_GT_1F_02;1
DUMMY1_35;Ank23d_C_GT_1F_02;0
DUMMY1_36;Ank23d_C_GT_1F_02;1
DUMMY1_37;Ank23d_C_GT_1F_02;1
DUMMY1_38;Ank23d_C_GT_1F_02;1
DUMMY1_39;Ank23d_C_GT_1F_02;1
DUMMY1_40;Ank23d_C_GT_1F_02;0
DUMMY1_41;Ank23d_C_GT_1F_02;0
DUMMY1_42;Ank23d_C_GT_1F_02;1
DUMMY1_43;Ank23d_C_GT_1F_02;1
DUMMY1_44;Ank23d_C_GT_1F_02;0
DUMMY1_45;Ank23d_C_GT_1F_02;1
DUMMY1_46;Ank23d_C_GT_1F_02;0
DUMMY1_47;Ank23d_C_GT_1F_02;1
DUMMY1_48;Ank23d_C_GT_1F_02;0
DUMMY1_49;Ank23d_C_GT_1F_02;1
DUMMY1_50;Ank23d_C_GT_1F_02;1
DUMMY1_51;Ank23d_C_GT_1F_02;1
DUMMY1_52;Ank23d_C_GT_1F_02;1
DUMMY1_53;Ank23d_C_GT_1F_02;1
DUMMY1_54;Ank23d_C_GT_1F_02;0
DUMMY1_55;Ank23d_C_GT_1F_02;1
DUMMY1_56;Ank23d_C_GT_1F_02;1
DUMMY1_57;Ank23d_C_GT_1F_02;1
DUMMY1_58;Ank23d_C_GT_1F_02;1
DUMMY1_59;Ank23d_C_GT_1F_02;1
DUMMY1_60;Ank23d_C_GT_1F_02;0
DUMMY1_61;Ank23d_C_GT_1F_02;0
DUMMY1_62;Ank23d_C_GT_1F_02;0
DUMMY1_63;Ank23d_C_GT_1F_02;0
DUMMY1_64;Ank23d_C_GT_1F_02;1
DUMMY1_65;Ank23d_C_GT_1F_02;1
DUMMY1_66;Ank23d_C_GT_1F_02;1
DUMMY1_67;Ank23d_C_GT_1F_02;0
DUMMY1_68;Ank23d_C_GT_1F_02;1
DUMMY1_69;Ank23d_C_GT_1F_02;1
DUMMY1_70;Ank23d_C_GT_1F_02;1
DUMMY1_71;Ank23d_C_GT_1F_02;0
DUMMY1_72;Ank23d_C_GT_1F_02;1
DUMMY1_73;Ank23d_C_GT_1F_02;0
DUMMY1_74;Ank23d_C_GT_1F_02;1
DUMMY1_75;Ank23d_C_GT_1F_02;0
DUMMY1_76;Ank23d_C_GT_1F_02;1
DUMMY1_77;Ank23d_C_GT_1F_02;1
DUMMY1_78;Ank23d_C_GT_1F_02;1
DUMMY1_79;Ank23d_C_GT_1F_02;1
DUMMY1_80;Ank23d_C_GT_1F_02;1
DUMMY1_81;Ank23d_C_GT_1F_02;0
DUMMY1_82;Ank23d_C_GT_1F_02;0
DUMMY1_83;Ank23d_C_GT_1F_02;0
DUMMY1_84;Ank23d_C_GT_1F_02;1
DUMMY1_85;Ank23d_C_GT_1F_02;1
DUMMY1_86;Ank23d_C_GT_1F_02;0
DUMMY1_87;Ank23d_C_GT_1F_02;0
DUMMY1_88;Ank23d_C_GT_1F_02;1
DUMMY1_89;Ank23d_C_GT_1F_02;1
DUMMY1_90;Ank23d_C_GT_1F_02;0
DUMMY1_91;Ank23d_C_GT_1F_02;0
DUMMY1_92;Ank23d_C_GT_1F_02;1
DUMMY1_93;Ank23d_C_GT_1F_02;1
DUMMY1_94;Ank23d_C_GT_1F_02;1
DUMMY1_95;Ank23d_C_GT_1F_02;0
DUMMY1_96;Ank23d_C_GT_1F_02;1
DUMMY1_97;Ank23d_C_GT_1F_02;0
DUMMY1_98;Ank23d_C_GT_1F_02;0
DUMMY1_99;Ank23d_C_GT_1F_02;1
DUMMY1_100;Ank23d_C_GT_1F_02;0
DUMMY1_101;Ank23d_C_GT_1F_02;1
DUMMY1_102;Ank23d_C_GT_1F_02;0
DUMMY1_103;Ank23d_C_GT_1F_02;1
DUMMY1_104;Ank23d_C_GT_1F_02;1
DUMMY1_105;Ank23d_C_GT_1F_02;1
DUMMY1_106;Ank23d_C_GT_1F_02;1
DUMMY1_107;Ank23d_C_GT_1F_02;1
DUMMY1_108;Ank23d_C_GT_1F_02;1
DUMMY1_109;Ank23d_C_GT_1F_02;1
DUMMY1_110;Ank23d_C_GT_1F_02;1
DUMMY1_111;Ank23d_C_GT_1F_02;1
DUMMY1_112;Ank23d_C_GT_1F_02;0
DUMMY1_113;Ank23d_C_GT_1F_02;1
DUMMY1_114;Ank23d_C_GT_1F_02;1
DUMMY1_115;Ank23d_C_GT_1F_02;1
DUMMY1_116;Ank23d_C_GT_1F_02;0
DUMMY1_117;Ank23d_C_GT_1F_02;0
DUMMY1_118;Ank23d_C_GT_1F_02;1
DUMMY1_119;Ank23d_C_GT_1F_02;1
DUMMY1_120;Ank23d_C_GT_1F_02;1
DUMMY1_121;Ank23d_C_GT_1F_02;1
DUMMY1_122;Ank23d_C_GT_1F_02;1
DUMMY1_123;Ank23d_C_GT_1F_02;1
DUMMY1_124;Ank23d_C_GT_1F_02;0
DUMMY1_125;Ank23d_C_GT_1F_02;1
DUMMY1_126;Ank23d_C_GT_1F_02;0
DUMMY1_127;Ank23d_C_GT_1F_02;1
DUMMY1_128;Ank23d_C_GT_1F_02;0
DUMMY1_129;Ank23d_C_GT_1F_02;1
DUMMY1_130;Ank23d_C_GT_1F_02;1
DUMMY1_131;Ank23d_C_GT_1F_02;1
DUMMY1_132;Ank23d_C_GT_1F_02;1
DUMMY1_133;Ank23d_C_GT_1F_02;0
DUMMY1_134;Ank23d_C_GT_1F_02;1
DUMMY1_135;Ank23d_C_GT_1F_02;0
DUMMY1_136;Ank23d_C_GT_1F_02;1
DUMMY1_137;Ank23d_C_GT_1F_02;0
DUMMY1_138;Ank23d_C_GT_1F_02;1
DUMMY1_139;Ank23d_C_GT_1F_02;1
DUMMY1_140;Ank23d_C_GT_1F_02;1
DUMMY1_141;Ank23d_C_GT_1F_02;1
DUMMY1_142;Ank23d_C_GT_1F_02;0
DUMMY1_143;Ank23d_C_GT_1F_02;1
DUMMY1_144;Ank23d_C_GT_1F_02;1
DUMMY1_145;Ank23d_C_GT_1F_02;1
DUMMY1_146;Ank23d_C_GT_1F_02;1
DUMMY1_147;Ank23d_C_GT_1F_02;0
DUMMY1_148;Ank23d_C_GT_1F_02;0
DUMMY1_149;Ank23d_C_GT_1F_02;1
DUMMY1_150;Ank23d_C_GT_1F_02;0
DUMMY1_151;Ank23d_C_GT_1F_02;1
DUMMY1_152;Ank23d_C_GT_1F_02;1
DUMMY1_153;Ank23d_C_GT_1F_02;1
DUMMY1_154;Ank23d_C_GT_1F_02;1
DUMMY1_155;Ank23d_C_GT_1F_02;0
DUMMY1_156;Ank23d_C_GT_1F_02;1
DUMMY1_157;Ank23d_C_GT_1F_02;1
DUMMY1_158;Ank23d_C_GT_1F_02;0
DUMMY1_159;Ank23d_C_GT_1F_02;1
DUMMY1_160;Ank23d_C_GT_1F_02;1
DUMMY1_161;Ank23d_C_GT_1F_02;1
DUMMY1_162;Ank23d_C_GT_1F_02;1
DUMMY1_163;Ank23d_C_GT_1F_02;0
DUMMY1_164;Ank23d_C_GT_1F_02;1
DUMMY1_165;Ank23d_C_GT_1F_02;1
DUMMY1_166;Ank23d_C_GT_1F_02;1
DUMMY1_167;Ank23d_C_GT_1F_02;1
DUMMY1_168;Ank23d_C_GT_1F_02;1
DUMMY1_169;Ank23d_C_GT_1F_02;1
DUMMY1_170;Ank23d_C_GT_1F_02;1
DUMMY1_171;Ank23d_C_GT_1F_02;0
DUMMY1_172;Ank23d_C_GT_1F_02;0
DUMMY1_173;Ank23d_C_GT_1F_02;0
DUMMY1_174;Ank23d_C_GT_1F_02;1
DUMMY1_175;Ank23d_C_GT_1F_02;1
DUMMY1_176;Ank23d_C_GT_1F_02;1
DUMMY1_177;Ank23d_C_GT_1F_02;1
DUMMY1_178;Ank23d_C_GT_1F_02;1
DUMMY1_179;Ank23d_C_GT_1F_02;1
DUMMY1_180;Ank23d_C_GT_1F_02;1
DUMMY1_181;Ank23d_C_GT_1F_02;1
DUMMY1_182;Ank23d_C_GT_1F_02;1
DUMMY1_183;Ank23d_C_GT_1F_02;1
DUMMY1_184;Ank23d_C_GT_1F_02;1
DUMMY1_185;Ank23d_C_GT_1F_02;0
DUMMY1_186;Ank23d_C_GT_1F_02;1
DUMMY1_187;Ank23d_C_GT_1F_02;0
DUMMY1_188;Ank23d_C_GT_1F_02;1
DUMMY1_189;Ank23d_C_GT_1F_02;1
DUMMY1_190;Ank23d_C_GT_1F_02;1
DUMMY1_191;Ank23d_C_GT_1F_02;1
DUMMY1_192;Ank23d_C_GT_1F_02;0
DUMMY1_193;Ank23d_C_GT_1F_02;1
DUMMY1_194;Ank23d_C_GT_1F_02;0
DUMMY1_195;Ank23d_C_GT_1F_02;0
DUMMY1_196;Ank23d_C_GT_1F_02;1
DUMMY1_197;Ank23d_C_GT_1F_02;1
DUMMY1_198;Ank23d_C_GT_1F_02;1
DUMMY1_199;Ank23d_C_GT_1F_02;1
DUMMY1_200;Ank23d_C_GT_1F_02;1
DUMMY1_201;Ank23d_C_GT_1F_02;0
DUMMY1_202;Ank23d_C_GT_1F_02;0
DUMMY1_203;Ank23d_C_GT_1F_02;0
DUMMY1_204;Ank23d_C_GT_1F_02;1
DUMMY1_205;Ank23d_C_GT_1F_02;1
DUMMY1_206;Ank23d_C_GT_1F_02;0
DUMMY1_207;Ank23d_C_GT_1F_02;0
DUMMY1_208;Ank23d_C_GT_1F_02;1
DUMMY1_209;Ank23d_C_GT_1F_02;0
DUMMY1_210;Ank23d_C_GT_1F_02;1
DUMMY1_211;Ank23d_C_GT_1F_02;0
DUMMY1_212;Ank23d_C_GT_1F_02;1
DUMMY1_213;Ank23d_C_GT_1F_02;1
DUMMY1_214;Ank23d_C_GT_1F_02;1
DUMMY1_215;Ank23d_C_GT_1F_02;1
DUMMY1_216;Ank23d_C_GT_1F_02;1
DUMMY1_217;Ank23d_C_GT_1F_02;1
DUMMY1_218;Ank23d_C_GT_1F_02;1
DUMMY1_219;Ank23d_C_GT_1F_02;0
DUMMY1_220;Ank23d_C_GT_1F_02;1
DUMMY1_221;Ank23d_C_GT_1F_02;1
DUMMY1_222;Ank23d_C_GT_1F_02;1
DUMMY1_223;Ank23d_C_GT_1F_02;0
DUMMY1_224;Ank23d_C_GT_1F_02;1
DUMMY1_225;Ank23d_C_GT_1F_02;1
DUMMY1_226;Ank23d_C_GT_1F_02;1
DUMMY1_227;Ank23d_C_GT_1F_02;1
DUMMY1_228;Ank23d_C_GT_1F_02;1
DUMMY1_229;Ank23d_C_GT_1F_02;1
DUMMY1_230;Ank23d_C_GT_1F_02;1
DUMMY1_231;Ank23d_C_GT_1F_02;0
DUMMY1_232;Ank23d_C_GT_1F_02;1
DUMMY1_233;Ank23d_C_GT_1F_02;0
DUMMY1_234;Ank23d_C_GT_1F_02;1
DUMMY1_235;Ank23d_C_GT_1F_02;1
DUMMY1_236;Ank23d_C_GT_1F_02;0
DUMMY1_237;Ank23d_C_GT_1F_02;1
DUMMY1_238;Ank23d_C_GT_1F_02;1
DUMMY1_239;Ank23d_C_GT_1F_02;1
DUMMY1_240;Ank23d_C_GT_1F_02;1
DUMMY1_241;Ank23d_C_GT_1F_02;0
DUMMY1_242;Ank23d_C_GT_1F_02;0
DUMMY1_243;Ank23d_C_GT_1F_02;1
DUMMY1_244;Ank23d_C_GT_1F_02;1
DUMMY1_245;Ank23d_C_GT_1F_02;1
DUMMY1_246;Ank23d_C_GT_1F_02;0
DUMMY1_247;Ank23d_C_GT_1F_02;1
DUMMY1_248;Ank23d_C_GT_1F_02;0
DUMMY1_249;Ank23d_C_GT_1F_02;1
DUMMY1_250;Ank23d_C_GT_1F_02;1
DUMMY1_251;Ank23d_C_GT_1F_02;0
DUMMY1_252;Ank23d_C_GT_1F_02;0
DUMMY1_253;Ank23d_C_GT_1F_02;0
DUMMY1_254;Ank23d_C_GT_1F_02;1
DUMMY1_255;Ank23d_C_GT_1F_02;1
DUMMY1_256;Ank23d_C_GT_1F_02;1
DUMMY1_257;Ank23d_C_GT_1F_02;0
DUMMY1_258;Ank23d_C_GT_1F_02;1
DUMMY1_259;Ank23d_C_GT_1F_02;1
DUMMY1_260;Ank23d_C_GT_1F_02;1
DUMMY1_261;Ank23d_C_GT_1F_02;1
DUMMY1_262;Ank23d_C_GT_1F_02;1
DUMMY1_263;Ank23d_C_GT_1F_02;0
DUMMY1_264;Ank23d_C_GT_1F_02;0
DUMMY1_265;Ank23d_C_GT_1F_02;0
DUMMY1_266;Ank23d_C_GT_1F_02;0
DUMMY1_267;Ank23d_C_GT_1F_02;1
DUMMY1_268;Ank23d_C_GT_1F_02;0
DUMMY1_269;Ank23d_C_GT_1F_02;1
