item_id;onderdeel;n;p_waarde
Ank23d_Bg_1F_15;LEZEN;3000;0,7797
Ank23d_Bg_1F_16;LEZEN;3000;0,8247
Ank23d_Ip_1F_14;LEZEN;3000;0,872
Ank23d_Ip_1F_18;LEZEN;3000;0,8413
Ank23d_Ip_1F_19;LEZEN;3000;0,8477
Ank23d_Ip_1F_20;LEZEN;3000;0,99
Ank23d_Op_2F_02;LEZEN;3000;0,855
Ank23d_Op_2F_21;LEZEN;3000;0,678
Ank23d_Tw_1F_13;LEZEN;3000;0,9333
Ank23dp_Op_1F_01;LEZEN;3000;0,9313
Ank23dp_Sv_2F_03;LEZEN;3000;0,8323
Ank23dp_Sv_2F_04;LEZEN;3000;0,8263
Ank23dp_Sv_2F_05;LEZEN;3000;0,6223
Ank23dp_Sv_2F_06;LEZEN;3000;0,5877
Ank23dp_Sv_2F_07;LEZEN;3000;0,7933
Ank23p_Bg_1F_21;LEZEN;3000;0,8587
Ank23p_Ip_1F_15;LEZEN;3000;0,7187
Ank23p_Ip_1F_18;LEZEN;3000;0,6513
Ank23p_Ip_1F_19;LEZEN;3000;0,6813
Ank23p_Ip_1F_20;LEZEN;3000;0,8887
Ank24dp_Ip_1F_01;LEZEN;3000;0,8117
Ank24dp_Op_1F_04;LEZEN;3000;0,7133
DUMMY2_LEZEN_1;LEZEN;3000;0,114
DUMMY2_LEZEN_10;LEZEN;3000;0,7243
DUMMY2_LEZEN_11;LEZEN;3000;0,629
DUMMY2_LEZEN_12;LEZEN;3000;0,4223
DUMMY2_LEZEN_13;LEZEN;3000;0,2503
DUMMY2_LEZEN_14;LEZEN;3000;0,0503
DUMMY2_LEZEN_15;LEZEN;3000;0,4533
DUMMY2_LEZEN_16;LEZEN;3000;0,0077
DUMMY2_LEZEN_17;LEZEN;3000;0,1997
DUMMY2_LEZEN_18;LEZEN;3000;0,489
DUMMY2_LEZEN_19;LEZEN;3000;0,4957
DUMMY2_LEZEN_2;LEZEN;3000;0,374
DUMMY2_LEZEN_20;LEZEN;3000;0,003
DUMMY2_LEZEN_21;LEZEN;3000;0,5807
DUMMY2_LEZEN_22;LEZEN;3000;0,9673
DUMMY2_LEZEN_23;LEZEN;3000;0,3423
DUMMY2_LEZEN_24;LEZEN;3000;0,665
DUMMY2_LEZEN_25;LEZEN;3000;0,937
DUMMY2_LEZEN_26;LEZEN;3000;0,7597
DUMMY2_LEZEN_27;LEZEN;3000;0,461
DUMMY2_LEZEN_28;LEZEN;3000;0,2337
DUMMY2_LEZEN_3;LEZEN;3000;0,2223
DUMMY2_LEZEN_4;LEZEN;3000;0,0337
DUMMY2_LEZEN_5;LEZEN;3000;0,8113
DUMMY2_LEZEN_6;LEZEN;3000;0,184
DUMMY2_LEZEN_7;LEZEN;3000;3e-04
DUMMY2_LEZEN_8;LEZEN;3000;0,4373
DUMMY2_LEZEN_9;LEZEN;3000;0,6747
Ank23d_IP_1F_02;TAAL;3000;0,9347
Ank23d_SN_1F_09;TAAL;3000;0,752
Ank23d_SW_1F_06;TAAL;3000;0,8443
Ank23d_SW_2F_05;TAAL;3000;0,6507
Ank23d_SW_2F_07;TAAL;3000;0,831
Ank23d_SW_2F_08;TAAL;3000;0,8547
Ank23dp_SN_1F_10;TAAL;3000;0,7587
Ank23dp_SN_1F_12;TAAL;3000;0,4377
Ank23dp_SN_2F_11;TAAL;3000;0,5427
