person_id;schooltype;schooladvies
DUMMY2_1;1;5
DUMMY2_2;1;2
DUMMY2_3;1;0
DUMMY2_4;1;0
DUMMY2_5;1;0
DUMMY2_6;1;0
DUMMY2_7;1;8
DUMMY2_8;1;3
DUMMY2_9;1;0
DUMMY2_10;1;6
DUMMY2_11;1;10
DUMMY2_12;1;2
DUMMY2_13;2;6
DUMMY2_14;1;10
DUMMY2_15;1;0
DUMMY2_16;1;7
DUMMY2_17;1;9
DUMMY2_18;1;0
DUMMY2_19;1;0
DUMMY2_20;1;2
DUMMY2_21;1;2
DUMMY2_22;1;8
DUMMY2_23;1;4
DUMMY2_24;1;9
DUMMY2_25;1;8
DUMMY2_26;1;3
DUMMY2_27;1;4
DUMMY2_28;1;0
DUMMY2_29;1;0
DUMMY2_30;1;0
DUMMY2_31;1;8
DUMMY2_32;1;10
DUMMY2_33;1;2
DUMMY2_34;1;8
DUMMY2_35;1;9
DUMMY2_36;1;9
DUMMY2_37;1;0
DUMMY2_38;1;9
DUMMY2_39;1;6
DUMMY2_40;1;10
DUMMY2_41;1;0
DUMMY2_42;1;0
DUMMY2_43;1;1
DUMMY2_44;1;8
DUMMY2_45;1;6
DUMMY2_46;1;6
DUMMY2_47;1;0
DUMMY2_48;1;0
DUMMY2_49;1;4
DUMMY2_50;1;3
DUMMY2_51;1;9
DUMMY2_52;1;10
DUMMY2_53;1;8
DUMMY2_54;1;6
DUMMY2_55;1;9
DUMMY2_56;2;10
DUMMY2_57;1;2
DUMMY2_58;1;8
DUMMY2_59;1;8
DUMMY2_60;1;2
DUMMY2_61;1;1
DUMMY2_62;1;2
DUMMY2_63;1;9
DUMMY2_64;1;3
DUMMY2_65;1;0
DUMMY2_66;1;3
DUMMY2_67;1;9
DUMMY2_68;1;0
DUMMY2_69;1;0
DUMMY2_70;1;10
DUMMY2_71;1;0
DUMMY2_72;1;3
DUMMY2_73;1;7
DUMMY2_74;1;5
DUMMY2_75;1;0
DUMMY2_76;1;8
DUMMY2_77;1;0
DUMMY2_78;1;10
DUMMY2_79;1;3
DUMMY2_80;1;9
DUMMY2_81;1;8
DUMMY2_82;1;1
DUMMY2_83;1;7
DUMMY2_84;1;0
DUMMY2_85;1;10
DUMMY2_86;1;0
DUMMY2_87;1;0
DUMMY2_88;1;1
DUMMY2_89;1;0
DUMMY2_90;1;7
DUMMY2_91;1;0
DUMMY2_92;1;7
DUMMY2_93;1;5
DUMMY2_94;1;5
DUMMY2_95;1;4
DUMMY2_96;1;0
DUMMY2_97;1;7
DUMMY2_98;1;0
DUMMY2_99;1;4
DUMMY2_100;1;9
DUMMY2_101;1;6
DUMMY2_102;1;0
DUMMY2_103;1;5
DUMMY2_104;1;5
DUMMY2_105;1;6
DUMMY2_106;1;8
DUMMY2_107;1;10
DUMMY2_108;1;0
DUMMY2_109;1;4
DUMMY2_110;1;0
DUMMY2_111;1;8
DUMMY2_112;1;2
DUMMY2_113;1;0
DUMMY2_114;1;6
DUMMY2_115;1;0
DUMMY2_116;1;0
DUMMY2_117;1;0
DUMMY2_118;1;0
DUMMY2_119;1;6
DUMMY2_120;1;0
DUMMY2_121;1;6
DUMMY2_122;1;7
DUMMY2_123;1;0
DUMMY2_124;1;5
DUMMY2_125;1;4
DUMMY2_126;1;0
DUMMY2_127;1;1
DUMMY2_128;2;8
DUMMY2_129;1;0
DUMMY2_130;2;8
DUMMY2_131;1;0
DUMMY2_132;1;8
DUMMY2_133;1;0
DUMMY2_134;2;1
DUMMY2_135;1;10
DUMMY2_136;1;9
DUMMY2_137;1;8
DUMMY2_138;1;5
DUMMY2_139;1;0
DUMMY2_140;1;2
DUMMY2_141;1;2
DUMMY2_142;1;0
DUMMY2_143;1;5
DUMMY2_144;1;1
DUMMY2_145;1;0
DUMMY2_146;1;0
DUMMY2_147;2;4
DUMMY2_148;1;2
DUMMY2_149;1;0
DUMMY2_150;1;7
DUMMY2_151;1;4
DUMMY2_152;1;9
DUMMY2_153;1;0
DUMMY2_154;1;9
DUMMY2_155;1;6
DUMMY2_156;1;0
DUMMY2_157;1;4
DUMMY2_158;1;0
DUMMY2_159;1;6
DUMMY2_160;1;0
DUMMY2_161;2;2
DUMMY2_162;1;0
DUMMY2_163;1;6
DUMMY2_164;1;3
DUMMY2_165;1;0
DUMMY2_166;1;5
DUMMY2_167;1;0
DUMMY2_168;1;1
DUMMY2_169;1;0
DUMMY2_170;1;6
DUMMY2_171;2;3
DUMMY2_172;1;0
DUMMY2_173;1;6
DUMMY2_174;1;6
DUMMY2_175;1;9
DUMMY2_176;1;1
DUMMY2_177;1;2
DUMMY2_178;1;6
DUMMY2_179;1;0
DUMMY2_180;1;0
DUMMY2_181;1;0
DUMMY2_182;1;3
DUMMY2_183;1;4
DUMMY2_184;1;9
DUMMY2_185;1;4
DUMMY2_186;1;9
DUMMY2_187;1;8
DUMMY2_188;1;6
DUMMY2_189;1;7
DUMMY2_190;1;6
DUMMY2_191;1;8
DUMMY2_192;1;0
DUMMY2_193;1;1
DUMMY2_194;1;0
DUMMY2_195;1;9
DUMMY2_196;1;3
DUMMY2_197;2;1
DUMMY2_198;1;6
DUMMY2_199;1;6
DUMMY2_200;1;0
DUMMY2_201;1;2
DUMMY2_202;1;0
DUMMY2_203;1;7
DUMMY2_204;1;4
DUMMY2_205;1;8
DUMMY2_206;1;4
DUMMY2_207;2;7
DUMMY2_208;1;5
DUMMY2_209;1;3
DUMMY2_210;1;0
DUMMY2_211;2;7
DUMMY2_212;1;5
DUMMY2_213;1;0
DUMMY2_214;1;7
DUMMY2_215;1;0
DUMMY2_216;1;1
DUMMY2_217;1;3
DUMMY2_218;1;1
DUMMY2_219;1;0
DUMMY2_220;1;8
DUMMY2_221;1;0
DUMMY2_222;1;2
DUMMY2_223;1;3
DUMMY2_224;1;0
DUMMY2_225;1;7
DUMMY2_226;1;1
DUMMY2_227;1;7
DUMMY2_228;1;6
DUMMY2_229;1;2
DUMMY2_230;1;9
DUMMY2_231;1;3
DUMMY2_232;1;3
DUMMY2_233;2;0
DUMMY2_234;1;1
DUMMY2_235;1;10
DUMMY2_236;1;10
DUMMY2_237;1;2
DUMMY2_238;1;5
DUMMY2_239;1;0
DUMMY2_240;1;2
DUMMY2_241;1;0
DUMMY2_242;1;0
DUMMY2_243;1;8
DUMMY2_244;1;2
DUMMY2_245;1;6
DUMMY2_246;1;6
DUMMY2_247;1;2
DUMMY2_248;1;0
DUMMY2_249;2;0
DUMMY2_250;1;9
DUMMY2_251;1;0
DUMMY2_252;1;7
DUMMY2_253;1;0
DUMMY2_254;1;10
DUMMY2_255;1;2
DUMMY2_256;1;6
DUMMY2_257;1;6
DUMMY2_258;1;10
DUMMY2_259;1;3
DUMMY2_260;1;4
DUMMY2_261;1;2
DUMMY2_262;1;8
DUMMY2_263;1;1
DUMMY2_264;2;0
DUMMY2_265;1;10
DUMMY2_266;1;2
DUMMY2_267;1;3
DUMMY2_268;2;9
DUMMY2_269;1;10
DUMMY2_270;1;4
DUMMY2_271;1;10
DUMMY2_272;1;4
DUMMY2_273;1;2
DUMMY2_274;1;9
DUMMY2_275;2;0
DUMMY2_276;1;4
DUMMY2_277;1;0
DUMMY2_278;1;0
DUMMY2_279;1;2
DUMMY2_280;1;8
DUMMY2_281;1;4
DUMMY2_282;2;3
DUMMY2_283;1;3
DUMMY2_284;1;0
DUMMY2_285;1;4
DUMMY2_286;1;7
DUMMY2_287;1;7
DUMMY2_288;1;7
DUMMY2_289;2;0
DUMMY2_290;1;10
DUMMY2_291;1;0
DUMMY2_292;1;1
DUMMY2_293;1;1
DUMMY2_294;1;0
DUMMY2_295;1;6
DUMMY2_296;1;7
DUMMY2_297;1;5
DUMMY2_298;1;0
DUMMY2_299;1;6
DUMMY2_300;1;3
DUMMY2_301;1;4
DUMMY2_302;1;5
DUMMY2_303;1;2
DUMMY2_304;1;5
DUMMY2_305;1;8
DUMMY2_306;1;5
